Acronym/Jargon,What does it stand for?,Explanation
PRINCE,Projects In Controlled Environments,UK project management methodology 
Private Marking,,A label applied to information on paper
PROBLEM (PRB),,A Problem management ticket
Procedure,,A procedure consists of a series of tasks performed by one group or team to support their team or process objects. 
Process,,A process consists of at least two activities and operates across a team or functional boundary
Procurement,,Process by which an organisation acquires goods and services. 
Product,Product,A product is anything that can be offered to a market that might satisfy a want or need.
Proposal Document,,A document prepared in response to an inquiry
ProSe,Proximity Services,
Prospect,,An individual or organisation
Protocol,,A specific set of rules
Protocol Converter,,A device which converts an incoming protocol into a different protocol
Proxy,,The mechanism whereby one system acts for another system in responding to protocol requests. 
Proxy Server,,"Software that acts as a type of ""corporate telephone system"" for the internet. In short"
PRS,Premium Rate Services ,
PS,Professional Services,"The days of effort required for spcialist resources to carry out a defined set of activities for a Customer, together with the associated costs."
PSDN,Public Switched Data Network,
PSE,Packet Switch Exchange ,
PSI,Public Subscriber Identity,
PSK,Phase Shift Keying,A method of modulation used in modems for data transmssion. PSK modulation provides greater immunity to phase jitter noise that FSK. 
PSN,Public Services Network,Contract  that unifies provisioning of all network infrastructure across the UK public sector
PSO,Project Support Office ,
PSOMLP,Project Support Office Medium Level Plan ,
PSPDN,Packet Switched Public Data Network ,
PTO,Precision Testing Officer ,
PTO,Public Telecommunications Operator ,
PTP,PROCURE TO PAY,
PTS,Public Telecommunications System ,
PTT,Postal,
PU,Physical unit,In IBM's SNA
Public Domain,,"Also called ""shareware"". Giving away software to the public"
Pulse Code Modulation,,An encoding technique for digitising analogue voice signals 
Punt/Punt Cluster,,A collection of machines used to store and forward Demon customers email. 
Purchase Contract,,An agreement between a customer and a supplier for the provision of a service or product. 
Purchase Order,,A formal order issued by a party for the supply of goods or services the acceptance of which by the other party constitutes a contract. 
PVC,Permanent Virtual Circuit,A connection in a connection-oriented network which is established through configuration
PVN,Private Virtual Network ,
PVP,Permanent Virtual Path,Virtual path that consists of PVCs 
PXML,Private Exchange Master List ,
QA,Quality Assurance,A planned and systematic pattern of all actions necessary to provide adequate confidence that the product optimally fulfils customer's expectations. 
QAM,Quadrature Amplitude Modulation,Method of modulating digital signals onto a radio-frequency carrier signal involving both amplitude and phase coding. QAM is a modulation scheme mostly used in the downstream direction. 
QC,Quality Control,The assessment of product compliance. Independently finding deficiencies assures compliance of the product with stated requirements. 
QMS,Quality Management System ,
QoS,Quality of Service,"The ability to provide different priority to different applications, users, or data flows, or to guarantee a certain level of performance to a data flow."
QPSK,Quadrative Phone Shift Keying ,
QSIG,,A global signalling and control standard for PINX-to-PINX Private Integrated Network Exchange applications
Qualification Process,,Process of demonstrating whether an entity is capable of fulfilling specified requirements. 
Qualified,,Status given to an entity when the capability of fulfilling specified requirements has been demonstrated. 
Qualified Acceptance,,An acceptance granted in situations where a defect that is of a minor nature exists and does not affect the approval status of the apparatus or the integrity of the public switched network or create a hazard to safety. In legal and contractual terms it denotes an acceptance of an offer subject to qualifications on the offer which constitutes a counter offer. 
Quality,,Is the degree of excellence by which we satisfy our customers. 
Quality Plan,,Document setting out the specific quality practices
Quantization,,The process that divides the continuous range of values of a signal into non-overlapping but not necessarily equal sub-ranges. It then assigns a discrete value of the output to each sub-range. Whenever the signal value falls within a given sub-range
QUERY HISTORY FAULT (QHF),,A customer request for the reason for an outage
Queue,,A series of calls waiting for connection
QUEUE,QUEUE,The ability to prioritise and handle callers when there is no Agent available
R&D,Research & Development ,
R2,,"An entire series of ITU-T specs which refers to European analogue and digital trunk signalling. It refers to a type of trunk found in Europe which uses ""compelled handshaking"" on every MF multi-frequency signalling digit "
R2R,RECORD TO REPORT,
RA,Resource Adaptor,
RA,Risk Assessment,
RAB,Registrar Accreditation Board ANSI term ,
RAC,Relay Access Card ,
RAD,Rapid Application Development ,
RAD,Retain Aquire Develop,Forum for reviewing complex opportunities to make a bid or no-bid decision
RADIUS,,Remote Authentication Dial-up User Service. Database for authenticating modem and ISDN connections and for tracking connections time. 
RAG,Red/Amber/Green ,Usually used when looking at targets
RAG,Remote Access gateway,Colour-based rating system
RAG,RED AMBER GREEN,
RAID,Redundant Array of Inexpensive Disks,
RAM,Random Access Memory,A solid-state memory device used for transient memory storage. Allows you to enter and retrieve information from any storage position. 
RAN,Radio Access Network,
RAPID,Recommend Agree Perform Input Decide,RAPID is an acronym for five roles that can exist within the decision making process.
RAR,Received Activation Request ,
RAS,Remote Access Server,"A network servicer often ""bundled"" into the OS that provides access to remote computer users via a modem. "
RBOC,Regional Bell Operating Company. ,
RC,Response code,
RC-4,,An encryption/decryption alogrithm supported in Cellular Digital Packet Data CDPD. 
RCA,Roaming Charging Application,
RCC,Radio Channel Controller ,
RCD,Residual Current Device ,
RCD,Revised Confirmed Date,Term used by GTES/UK TES Delivery Teams
RCL,Recall ,
RCU,Remote Concentrator Unit ,
RCX2,RSS Double Extension Cable ,
RDBMS,Relational Database Management System,A structured computer information storage and retrieval system where the basic unit is a table with rows and columns. Data is defined
RDBMS,Relational Database Management System,a database management system (DBMS) that is based on the relational model
RDP,Remote Desktop Protocol ,
RDS,Radio Data System ,
Real Time,,A transmission or data processing operating mode by which data is entered in an interactive session; pertaining to an application whereby response to input is fast enough to affect subsequent input such as a process-control system; describing processing in which the results are used to influence an ongoing process. 
REC,release confirmation,
Recommendation (Service),,Recommendations for contractual Service Performance 
Record,,A record consists of written technical information
RECT,Rectifier,
RedCare,,Secure alarm monitoring from BT. System can be connected to both IDS and FPS
RedFlag,Remedy field (Non editable by user),"Secure customer indicator field set in Remedy (erroneously referred to as Gsi flag, as all Gsi customers will be red flagged but non Gsi customers can be red flagged e.g. Police)"
Redwall,Outdoor PIR Detectors that protect the perimeter of buildings,
REL,release,
Remedy,Remedy,
Reported By,,Ticket raised by
Resolution / Details,,Incident resolution details 
Resource,,Personnel
Resource BCP,,A BCP that covers the restoring of one particular failed or failing resource. 
Responsible Person,,The person identified within a contract who is responsible for the mangement of that contract. 
Restoration Target,,"The target time that an incident service restoration should not exceed, Targets vary by Severity  "
Revision eform,,Amendment to a service in the process of being installed not yet complete 
Revision OMARS,,Amendment to a service in the process of being installed not yet complete 
RF,Radio Frequency,A range of electromagnetic frequencies above sound and below visible light
RFC,Request For Change,A documented request specifying a change that is required to a service
RFI,Radio Frequency Interference,Disruption of signal by radio waves at the same frequency as the desired signal. 
RFI,Request for Information ,
RFO,Reason for Outage ,
RFQ,Request For Quotation ,
RFQ,REQUEST FOR QOUTE,
RFS,Ready For Service ,Term used by GTES/UK TES Delivery Teams
RFS,Resource Facing Service ,"Technical parameters and resources, e.g. IMSI, sim, msisdn"
RichClient,,A desktop version of the Interfaces within BOXI for creating SQL Query reports and Dashboards.
Ring,,Connection of two or more stations in a logically circular topology. Information is passed sequentially between active stations. Token Ring
RIP,Raster Image Processor,
RIP,Routing Information Protocol,An IAB protocol which is used by IP routers to determine the optimal path along which to move a packet. 
RIS,RSS Installation System ,
RISC,Redundant Instruction Set Computing,A computer architecture that uses simpler instructions of constant size
Risk,,One or the whole set of qualitatively-expressed effects on the business that malfunction or loss of resources
Risk Analysis,,Comprehensive concept for defining and analysing threats to
Risk of Compromise,,This is the combination of threats and vulnerabilities. 
RiSLA,Resolved In Service Level Agreement (Resolved in SLA),Percentage resolved within service level 
RIU,Residential Interface Unit ,
RJU,Residential Junction Unit ,
RL,Relay ,
RLTP,Retail Logistic Transformation Programme,
RMC,Radio Management Centre,
RMC,RSS Mains Cable ,
RMON,Remote Monitoring,Software for the remote management of networks. Obtains status information
RMT,RSS Maintenance Test Equipment ,
RNC,Radio Network Controller,
RO,Recipient Operators = Gaining Operator,
Roamer,,Radio Unit User from a different Area Board wishing to take service on a temporary basis. Also referred to as a foreign mobile. 
Roaming,Roaming,Customers using their mobile services abroad.
RODOD,Rapid Offer Design & Order Delivery,
ROEP,Rise of Earth Potential ,
Rolling 12 Months,,Graphs & tables showing the last 12 months results
ROM,Read Only Memory ,
ROSE,Remote Operation Service Element,A international standard protocol that serves as an interface between software applications on different nodes. 
Rotary Dial,,The old circular telephone dial that used pulse signalling that
Router,Router,"A device that forwards data packets across computer networks. Routers perform the data ""traffic directing"" functions on the Internet. A router is a microprocessor-controlled device that is connected to two or more data lines from different networks."
Router,,A sophisticated
Routing Protocol,,Used by the router to optimise the path for each transmission of data. 
ROW,Remedy One Way,"ROW IS A SET OF BEST-PRACTICE RULES GOVERNING THE USE OF REMEDY UNDERPINNING INCIDENT MANAGEMENT 
 
"
RPC,Remote Procedure Call ,
RPC,RSS Power Cable ,
RPI,Retail Price Index ,
RPO,Recovery Point Objective,
RPO,Recovery Point Objective,
RPU,Remote Peripheral Unit ,
RRS,Report Request System,Development tracker for reporting
RS-232,,The most common interface in telecommunications. Also known as RS-232-C
RSA,Rivest,
RSC,RIS Test & Setup Cable ,
RSP,Radio Site Processor ,
RSS,Residential Service System ,
RSVP,Resource Reservation Protocol,Protocol that supports the reservation of resources across an IP network. Applications running on IP end systems can use RSVP to indicate to other nodes the nature bandwidth
RTC,RSS Transistion Cable ,
RTCfA,Real Time Charging for All,
RTCP,Real Time Conferencing Protocol,Supports real time conferencing for large groups on the internet. It contains source identification and support for audio and video bridge/gateways
RTHB,Return to Block Holder,
RTNR,Ring Tone No Reply ,
RTO,Recovery Time Objective,
RTP,Real Time Protocol,Designed to provide end-to-end network transport functions for applications transmitting real-time data
RTTC,Radio Telephone Trunk Card ,
RTU,Radio Termination Unit ,
RU,Request / Response Unit,Request and response messages exchanged between NAUs in an SNA network. 
RWT,Right When Tested ,
Rx,Receiver ,
RXC,RSS Extension Cable ,
RXC1,RSSSingle Extension Cable ,
RXU,RSS Extension Telephone Point ,
RXU1,RSS Single Extension Telephone Point ,
S/N,Signal-to-Noise Ratio,A measure of transmission quality. The higher the ratio of the usable signal being transmitted in comparison to the noise or undesired signal
S/W,SOFTWARE SERVICES AND MAINTAINENCE,
SACs,Standard Activity Changes,
SAE,System Architecture Evolution,
SAF,Store And Forward ,System that queues provisioning of customers to back ends
Salesforce.com,Salesforce.com,"The Vodafone  Customer Relationship Management (CRM) system for sales staff, on a subscription basis; which is hosted offsite by Salesforce.com, an enterprise cloud computing company headquartered in San Francisco, USA."
Sampling,,The conversion of analogue signals into digital values based on signal strength at the point being sampled. The sample rate is determined by the signal bandwidth and the fidelity required. see also Quantization 
Sandbox,,An internet security technique that isolates the brower from the environment in the event that its attempt to access system resources may be potentially harmful e.g. viruses. Some environments e.g. Java deny access to a distributed object
SAPP,SINGLE ACCESS PARTNER PORTAL,
SAR,System Activation Request ,
SAT,Site Acceptance Testing ,
SBC,Session border controller,"A session border controller (SBC) is a device regularly deployed in Voice over Internet Protocol (VoIP) networks to exert control over the signaling and usually also the media streams involved in setting up, conducting, and tearing down telephone calls or"
SC,SHOPPING CART,
Scalable,,Software or hardware that can be expanded or contracted with relative ease
Scanner,,A peripheral device that inputs graphic images into a computer by converting them into digital form 
SCCP,Signalling Connection Control Part,
SCOPE,Software Evaluation & Certification Program Europe ,
SCP,Senior Channel Partner ,
SCP,Service Control Point,A computer database that holds information on IN services and subscribers and is separated from the switch
Script Code,,Code that is not complied but passed through and interpreter during run time i.e. ASP & HTLM.
S-CSCF,Serving Call Server Control Function,
SCSE,Senior Customer Service Executive,
SCSI,Small Computer System Interface,"Pronounced ""scuzzie"". A hardware interface that allows the connection of up to 7 peripheral devices to a computer"
SCTP,Stream Control Transport Protocol,
SCVT,SUPPLY CHAIN VERIFICATION TEAM,
SDD,Solution Design Document,A technical design document similar to a HLD.
SDH,Synchronous Digital Hierachy,European standard that defines a set of rate and format standards that are transmitted using optical signals over fibre. SDH is similar to SONET
SDH,Synchronous Digital Hierarchy,Synchronous Optical Networking (SONET) and Synchronous Digital Hierarchy (SDH) are standardized multiplexing protocols that transfer multiple digital bit streams over optical fiber using lasers or light-emitting diodes (LEDs).
SDLC,Synchronous Data Link Control,SNA data link layer communications protocol. SDLC is a bit-oriented
SDLS,Single-Line Digital Subscriber Line,SDSL delivers 1.544 Mbps both downstream and upstream over a single copper twisted pair. The use of a single twisted pair limits the operating range of SDSL to 10
SDM,SERVICE DELIVERY MANAGER,
SDSL,Symmetric digital subscriber line,A collection of Internet access technologies based on DSL that offer symmetric bandwidth upstream and downstream. It is considered the opposite of Asymmetric Digital Subscriber Line (ADSL) technologies where the upstream bandwidth is lower than the downst
SDU,Standard Dial-Up,A standard Demon dial-up account. Access the internet by dialling up form one PC to the Demon service NDU. 
Search Engine,,Literally
Secondary,,"RF channels ""imported"" from other cells "
Secondary Channel,,A channel operating on the JRC frequency allocated to imported overlay channels within the home cell. 
Secure Perimeter,,Environment is maintained by some means of access control or locked outer doors whch prevents and detects intruders. This should be combined with some form of guarding or intruder detection
Security,,The protection of all assets documents
Security Architecture,,A set of security controls
Security Container,,A security cabinet designed to offer a degree of resistance to an attacker using force. 
Security Control,,A system technique or procedure
Security Control Guidelines,,Guidance on security controls included in the definition of data entities in business models
Security Failure /Incident,,Any event that has
Security Indicators,,Flags showing the significance of each of the three aspects of information security confidentiality
Security Management Statement,,A standard document describing the known security deficiencies of an operational system and the limits beyonds which a system enhancement or change may invalidate the risk analysis undertaken during its development. 
Segment,,Section ofa network that is bounded by bridges
Segment,,In a LAN using a bus topology
Segment,,Term used in the TCP specification to describe a single transport layer unit of information. 
Sensitivity,,This
SEPA,SINGLE EURO PAYMENT AREA,
Serial Port,,An input/output port that transmits data out one bit at a time
Serial Transmission,,A method of data transmission in which each bit of information sent sequentially on a single data channel. Serial transmission is the normal transmission mode for data communications. 
Server,,Usually the central computer on a network that stores and distributes data. Or can simply be a regular PC set aside to handle requests to peripheral devices e.g. to a printer 
Service,,The Customer service that is being reported upon
Service Affected,,The customer service that is being investigated
Services,Services,
Session,,The active connection
SET,Secure Electronic Transaction,Automates the authorisation
Severity,,The level of importance of a recorded incident
SFDC,Salesforce.com,"The Vodafone  Customer Relationship Management (CRM) system for sales staff, on a subscription basis; which is hosted offsite by Salesforce.com, an enterprise cloud computing company headquartered in San Francisco, USA."
SGCP,Simple Gateway Control Protocol,Controls Voice over IP gateways by an external call control element. 
SGML,Standard Generalised Markup Language,International standard for the definition of system-independent
SGMP,Simple Gateway Monitoring Protocol,Network management protocol that was considered for Internet standardisation and later evolved into SNMP. 
S-HTTP,Secure HyperText Transfer Protocol,A security extension of HTTP for authentication and encryption between a web server and a web browser. see HTTP. 
Signal Processing,,A combination of telephony call control and media processing. the term applies to either digital signals that are the result of sampling an analogue source
Signalling,,"some form of signalling mechnaism is rquried in any telephone system to set up and ""tear down"" calls. Most simply put"
Signalling Packet,,Generated by an ATM-connected device that wants to establish a connection with another such device. The signalling packet contains the ATM NSAP address of the desired ATM endpoint
Signalling System 7 SS7,,Provides the architecture for performing out-of-band signalling in support of call-establishment
Signature,,"A digital code embedded in a block of data or ""applet"""
Silence Suppression,,While one person is talking on the line
SIP,Session Initiation Protocol,SIP is a text-based protocol
SIP,Session Initiation Protocol,"Signaling protocol, widely used for controlling multimedia communication sessions such as voice and video calls over Internet Protocol (IP)."
SIP,session initiation protocol (a VOIP signalling protocol),
siRa,Service Information Reporting Application,"Customer reporting teams online database for data collation, cleansing and Customer report production"
siRa Loaders,,a generic term for the many and varied loaders used to populate the siRa database daily with data from the various systems from around the business i.e. Remedy.
siRa Report Enigne,,Asynchronous application built and compiled using VB.Net to process templates into customer popualted reports upon requests from the siRa web interface.
siRa Tempate,,a defined method for data extraction and reporting using the siRa report engine. 
SISDB,Database used for customer authentication,
SIT,system integration testing,
SIWF,Shared Interworking Functions,
SK,Service Key,
SK,Socket ,
SKB,Support Knowledge Base,
SLA,Service Level Agreement,"Rules to be followed by VTIS in supplying a particular service to an opco, for which the opco gets charged. ( B - Basic, BS - Business Standard, BP - Business Premium)"
SLA,Service Level Agreement ,
SLA,Service Level Agreement,"A Service Level Agreement is used to define the level of a service that exists between a service provider and their customer.  May also specify a level of service, including targets and a minimum level "
SLA,Service Level Agreement,The Service level that has been agreed to be the minimum delivered and measured against
SLA,SERVICE LEVEL AGREEMENT,
SLIP,Serial Line Internet Protocol,Standard protocol for point-to-point serial connections using a variation of TCP/IP. 
SLM,Service Level Management,"A team based in group, managing the SLAs documents signed  between opcos and VTIS"
SLM,Service Level Management,methods of managing service levels such as KPI's and SLA's
SLS,Second Line of Support,
SLSA,Single Line Switching Apparatus ,
SLU,Service Level Unit,
SMA,Service Management Architecture. ,
SMB,small business,
SMC,Service Management Centre (FLS in Tech Ops),
SMDB,Service Management Database ,
SME,Small / Medium-Sized Enterprises ,
SME,Small to Medium Enterprise,Small to Medium Enterprise - Businesses classed as small to medium that sit under Enterprise  for sales and customer service requirements.
SME,SUBJECT MATTER EXPERT,
SMEs,Short Message Entities (SMEs),
SMEs,Subject Matter Experts,
SMP,Subscriber Management Platform,
SMRS,Specialised Mobile Radio Service ,
SMS,Service Management System,The SMS allows provision and updating of information on subscribers and services in near-real time for billing and administrative purposes. 
SMS,Short Media Service ,Short Media Service - Small messages that are sent as text (text message)
SMS,Short Message Service,"Text communication service component of phone, web, or mobile communication systems, using standardized communications protocols that allow the exchange of short text messages between fixed line or mobile phone devices."
SMS,Short Messaging Service ,
SMSCs,Short Message Service Centers,
SMT,Surface Mount Technology ,
SMTP,Simple Mail Transfer Protocol,The most common e-mail protocol on the internet. 
SNA,Systems Network Architecture. ,
SNAP,Synchronous Network Access Point ,
SND,,An extension used for a variety of different sound file formats 
Sniffer,,The Sniffer Network Analyser trademark of Network General Corporation monitors network traffic and reports on problems. 
SNIS,Service Number Information System ,
SNMP,Simple Network Management Protocol,Widely used for network monitoring and control. SNMP agents that reside in the network devices pass report data to the main console that is responsible for overseeing the network. These agents also return information to the Management Information Base. 
SO,Service Operations,Operational support team providing technical assistance and resolution to service affecting incidents
SO,Standard Option ,
SOA,SERVICE OPERATIONS AGREEMENT,
Socket,,A software interface that directs an application to access the network by opening a socket and declaring its destination. also a synonym for a port. 
Soft Copy,,A program or file that has been stored on a magnetic medium
Softswitch,,Also known as call agent
Software prototyping,,"the activity of creating prototypes of software applications, i.e., incomplete versions of the software program being developed."
SOHO,Small Office Home Office,The telecom market of small businesses / Individuals operating out of their homes and requiring technologies that cater to their small size and financial limitations. 
SOL,State of Line ,
SoLSA,Support of Localized Service Area,
SOLT,SO Leadership team,
SONET,Synchronous Optical Network,A building block for the forthcoming broadband integrated services digital network
SOR,Statement / Schedule Of Requirements ,
SOR,Support of Optimal Routing,
SOR,Scope Of Requirements,A document detailing or brief of the requirements for a potential or approved project.
Source Code,,"In computing, source code is any collection of computer instructions (possibly with comments) written using some human-readable computer language, usually as text. That can be used as either script or compiled into executable code."
SOW,Statement of Works,"A formal document that captures and defines  work activities, deliverables, and timeline of specified work for a client. The SOW usually includes detailed requirements and pricing, standard, regulatory and governance terms and conditions."
SP,Service Provider ,
SPAM,,Unwanted or unsolicited e-mail duplicated to many people at once
SPC,Statistical Process Control ,
Special Privilege,,Any feature of facility of multi-user IT system that enables a user to override system or application controls 
Spectrum,Spectrum,"Phone signals use radio spectrum for reception of their signals. The spectrum is also shared with television, Wi-Fi and Bluetooth transmission. "
SPICE,Software Process Improvement & Capability Determination ,
SPoC,Single point of Contact,
SPoF,Single point of Failure,
Spoofing,,The act of a packet illegally claiming to be from an address from which it was not actually sent. Spoofing is designed to foil network security mechanisms such as filters and access lists 
SPP,Sequenced Packet Protocol,
SPT,Service Profile Trigger,
SPVC,Switched Permanent Virtual Circuit,A pre-defined connection over telephone exchanges that allows switching. 
SPX,Sequenced Packet Exchange,An enhanced set of commands
SQA,Software Quality Assurance ,
SQE,Signal Quality Error,Transmission sent by a transceiver back to the controller to let the controller know whether the collision circuitry is functional. 
SQL,Structured Query Language,a special-purpose programming language designed for managing data held in a relational database management system (RDBMS).
SQM,Software Quality Management / Maintenance. ,
SR,service Request,
SRAM,,Type of RAM that retains its contents for as long as power is supplied. SRAM does not require constant refreshing
SRQ,service Request,
SRVCC,Single Radio Voice Call Continuity,
SS,Singleserve,
SS7,Signalling System n.7,
SSA,Support Services Agreement,A legally binding document that sets out to provide a single support agreement that can accommodate all of the elements that combine to provide an end to end IT solution.
SSBS,Switched Service Billing System ,Fixed legacy billing system for voice products
SSC,SHARED SERVICES CENTRE,
SSF,Service Switching Function,
SSH/SFTP,Secure SHell/Secure File Transfer Protocol,
SSL,Secure Sockets Layer,Encryption technology for the web used to provide secure transactions such as the transmission of credit card numbers for e-commerce. 
SSU,Software Support Upgrades (SS&U),Avaya contracted entitlement to software access to all major Avaya software updates (where licensed and on supported products).
SSU,Synchronisation Supply Unit ,
STA,,Status 
Stack,,A set of data storage locations that are accessed in a fixed sequence 
Standard Form,,An agreed layout for information to be presented 
Standard Product,,A set of capabilities with agreed technology
STARS,Scottish Telecom Action Request System,Fault Handling System 
STAT MUX,,Statistical Multiplexer. A device that utilises bandwidth efficiently by allocating time slots only as needed for sampling data and multiplexing it on a statistical alogorithm for purposes of transmission
Stateful Inspection,,A technique used by secure real time systems e.g. Firewall for filtering data and detecting unacceptable patterns or addresses that are prohibited from accesing the enterprise's resources. 
Status,,The status of a ticket at the time of report production 
STD,Subscriber toll or trunk dialling,Term for a telephone system allowing subscribers to dial trunk calls without operator assistance.
STD,Subscriber Trunk Dialing ,
STM,Synchronous Transfer Mode,B-ISDN communications method that transmits a group of different data streams synchronised to a single reference clock. 
Store and Forward S&F,,Transmission of a message to an intermediate relay point
STP,Shielded Twisted Pair,Twisted pair wiring sheathed with metal foil to limit interference. Also known as IBM type cable
Sub Contract,,A legally binding formal arrangement between a party and a Contractor for the supply of goods or services for inclusion in the supply of goods or services by the Contractor to a third party under a Contract see definition of Contractor and Contract. 
Subnetwork,,In IP networks
Subscriber,,A unit or person which can partake in a call i.e. radio unit
Subscriber Line,,
SUDS,historical memory of Geoprobe,
Suite,,A set of applications designed to operate together 
Supplier,,A party that provides goods or services to another party 
Suppliers,,HP (Website)/Nortel/Avaya/IBM (BI)/Tech Mahindra (Telephony Infrastructure)/Accenture (Testing function)/Infosys (E-commerce)
Support,Support,
Support Processes,,Support Processes are processes which provide resources
SVAP,Strategic Vendor Automation Platform,"Includes within it Frontier, Partner Frontier, Messenger, Capture (aka COM), Supervisor (aka Agent)"
SVC,Switched Virtual Circuit,A connection ina connection-oriented network which is established dynamically
SVCT,SUPPLY CHAIN VERIFICATION TEAM,
Switch,Network Switch,A device that processes and routes data at the data link layer (layer 2) of the OSI model. Switches that additionally process data at the network layer (Layer 3) and above are often referred to as Layer 3 switches or multilayer switches.
Switch,Telephone Switch (PBX or PABX),A telephone exchange or telephone switch is a system of electronic components that connects telephone calls.
Switched Line,,A non-permanent telecommunications connection where access is accomplished by dialling into the network. 
Switching Hub,,A multi-port hub that connects devices over a LAN
Symptom Category,,"The category by code, of the symptom of an Incident"
Synchronous,,Clocked and timed data transmission where all bits are moving at the same speed and distance from each other
T &E,TRAVEL AND EXPENSES,
T &M,TIME AND MATERIAL,
T.37,,The IETF / ITU standard for Store & Forward Internet Fax over IP FoIP which works like an email. A fax is converted info file format
T.38,,The new ITU-T standard for sending faxes real-time over the internet
T.4,,ITU-T standard for Group 3 fax machines
T-1,,A US standard 1
T-3,,A 45Mbps link made up of 28 T-1 lines. Can handle 672 voice conversations. FT3 runs on fibre optic 
T4,,T4 has 168 times the capacity of T-1. At 274.176 Mbps it is capable of handling 4
TAG,TAG Sheet,"An Excel spreadsheet that provides a P&L analysis of all the associated costs related to a Customer Proposal, together with calculated commisions and margins."
TAG,Technical Advisory Group ,
TAG Sheet,TAG Sheet,
Tags,,Tags are used to define elements in HTML 
TALK TIME,TALK TIME,The amount of time an Agent spends handling a customer call – from start to finish.
TAP,Transport Access Point ,
TAPI,Telephony Application Programming Interface,"A Microsoft Windows API, which provides computer telephony integration and enables PCs running Microsoft Windows to use telephone services. Different versions of TAPI are available on different versions of Windows. TAPI allows applications to control tele"
TAPI,,Telephony API. An evolving set of functions that allow Windows applications to program telephone-line-based devices such as both digital and analogue single and multi-line phones
TAR,Technical Assurance Review,
TAS,Tactical Account Selling,
TBA,To Be Agreed ,
TBC,To Be Confirmed ,
TBC,TO BE CONFIRMED,
TBD,To Be Determined,
TBD,TO BE DEFINED,
TCD,Technical Configuration Data ,
TCM,TREASURY AND CASH MANAGEMENT,
TCO,Total Cost of Ownership,
TCP,Transport Control Protocol,
TCP / IP,Transmission Control Protocol / Internet Protocol,A set of communications protocols developed by the US Department of Defence
TDM,Time Division Multiplexing,A method of multiplexing in which multiple information streams 'take turns' with a single communications channel. Each stream is allocated a specific percentage of the common channel. 
TDM,Time-division multiplexing,"Type of digital or (rarely) analog multiplexing in which two or more signals or bit streams are transferred apparently simultaneously as sub-channels in one communication channel, but are physically taking turns on the channel."
TDMA,Time Division Multiple Access,One of several technologies used to separate multiple conversation transmissions over a finite frequency allocation of through-the-air bandwidth. Allocates a discrete amount of frequency bandwidth to each user
TDMA,Time division multiple access,"A channel access method for shared medium networks. It allows several users to share the same frequency channel by dividing the signal into different time slots. The users transmit in rapid succession, one after the other, each using his own time slot. Th"
Telco,,Telecommunications Company 
Telecommunications,,The transmission
Telecommunications Act Licence,,A licence granted by the DTI under the Telecommunications Act 1984 which allows the licensee to run telecommunications systems in the UK under the conditions and obligations set out in that licence. 
Telemetry,,Capability of transmitting or retrieving data over long distance communication links
Telephony,,Science of converting sound to electrical signals and transmitting it between widely removed points. 
TELETEX,,An ITU-T Standard for text and message transmission on a point-to-point dial-up basis that replaces the slow
TELETEXT,,A broadcasting servcie that sends informational text to television sets equipped with the proper decoder 
TELEX,,see Teletex 
TELNET,,Standard teminal emlation protocol in the TCP/IP protocol stack. Telnet is used for remote terminal connection
Template,,A standard format for layout
Tende r,,A document produced by a potential supplier in response to an enquiry. A tender may be prepared in response to an inquiry from a potential customer. 
TES,TECHNOLOGY ENTERPRISE SERVICES,
Test Loop,,Loop formed by temporarily linking complementary sections of modulator / demodulator
Test Loop Transmitter,,Unit fed with a sample of transmitter signal which it translates in frequency and feeds to the receiver in a test configuration. 
Test Plan,,The action list or lists within a BCP that are exercised before the BCP is first made live and form time to time thereafter. Intended to provide reassurance that the contingency and mitigation plans within the BCP will be effective when triggered. 
TFM,TOTAL FACILITIES MANAGEMENT,
THICKNET/THINNET,,THICKNET is the nickmane for thick Ethernet coaxial cable that is the most common implementation of Ethernet LAN. THINNET is thin Ethernet coaxial cable implemented for better cable routing
Thin Client,,A pre-set remote control device that provides easy
Threat,,A threat is a force
Threat,,A possible cause of malfunction or loss of a resource. 
TIA,Telecommunications Industry Association,The group responsible for setting telecommunications standards in the US. 
TIBS,Telephone Interconnect Billing System ,
Ticket By Type,,"Remedy tickets function, identified by their 3 character prefix"
Tie Line,,A line that interconnects two telephone exchanges
TLC,Telecommunication,
TLP,Traffic Log Processor ,
TLT,Technology Leadership Team,
TMN,Telecommunications Management Network,ITU-T generic model for transporting and processing OAM&P information for a telecommunications network. 
TMS,Telemarketing System ,
TNPS,Touchpoint Net Promoter Score,Touchpoint Net Promoter Score - NPS but taken directly after an interaction with Vodafone e.g. after committing to a new contract through a retail store.
TOC,T elecom Operation Centre ,
Token Bus,,One of the types of local area network 
Token Ring,,Refers to a generic type of LAN architecture. The token-ring concept involves a data signal
Topology,,The configuration of a network. Physical topologies the way the network looks include bus
ToR,Terms Of Reference ,
TPS,Transactions Per Second,A measure for evaluating computer performance by the number of processes it can execute concurrently. see Benchmark 
TQAB,Telecommunications Quality Assurance Board ,
TQM,Total Quality Management ,
Traffic,,Message intelligence such as voice
Trailer,,A block of controlling information transmitted at the end of a message for the purpose of tracing errors. 
Transition,Transition,?
Transmission,,The process of sending electrical signals over a line that caries information to a destination 
Transponder,,A receiver / transmitter on a communication satelite 
Transport Protocol,,Defined in layer 4 of the OSI model
